respondent,item_id,kind,sample,chosen,correct,ts
llm:llama3,enz_comp,recall,0,A,1,1782943384
llm:llama3,enz_comp,recall,1,A,1,1782943385
llm:llama3,enz_comp,recall,2,A,1,1782943386
llm:llama3,enz_comp,recall,3,A,1,1782943387
llm:llama3,enz_comp,recall,4,A,1,1782943389
llm:llama3,enz_comp,transfer,0,B,1,1782943390
llm:llama3,enz_comp,transfer,1,B,1,1782943390
llm:llama3,enz_comp,transfer,2,B,1,1782943391
llm:llama3,enz_comp,transfer,3,B,1,1782943392
llm:llama3,enz_comp,transfer,4,B,1,1782943393
llm:llama3,buffer_hh,recall,0,C,1,1782943396
llm:llama3,buffer_hh,recall,1,C,1,1782943397
llm:llama3,buffer_hh,recall,2,C,1,1782943397
llm:llama3,buffer_hh,recall,3,C,1,1782943398
llm:llama3,buffer_hh,recall,4,C,1,1782943399
llm:llama3,buffer_hh,transfer,0,B,0,1782943401
llm:llama3,buffer_hh,transfer,1,B,0,1782943401
llm:llama3,buffer_hh,transfer,2,B,0,1782943402
llm:llama3,buffer_hh,transfer,3,B,0,1782943402
llm:llama3,buffer_hh,transfer,4,B,0,1782943403
llm:llama3,proj_indep,recall,0,B,1,1782943405
llm:llama3,proj_indep,recall,1,B,1,1782943406
llm:llama3,proj_indep,recall,2,B,1,1782943406
llm:llama3,proj_indep,recall,3,B,1,1782943407
llm:llama3,proj_indep,recall,4,B,1,1782943407
llm:llama3,proj_indep,transfer,0,A,0,1782943409
llm:llama3,proj_indep,transfer,1,A,0,1782943409
llm:llama3,proj_indep,transfer,2,A,0,1782943410
llm:llama3,proj_indep,transfer,3,A,0,1782943411
llm:llama3,proj_indep,transfer,4,A,0,1782943412
llm:llama3,thermo_spont,recall,0,C,1,1782943413
llm:llama3,thermo_spont,recall,1,C,1,1782943413
llm:llama3,thermo_spont,recall,2,C,1,1782943414
llm:llama3,thermo_spont,recall,3,C,1,1782943414
llm:llama3,thermo_spont,recall,4,C,1,1782943415
llm:llama3,thermo_spont,transfer,0,C,0,1782943416
llm:llama3,thermo_spont,transfer,1,C,0,1782943417
llm:llama3,thermo_spont,transfer,2,C,0,1782943417
llm:llama3,thermo_spont,transfer,3,C,0,1782943418
llm:llama3,thermo_spont,transfer,4,C,0,1782943418
llm:llama3,hardy_carrier,recall,0,C,1,1782943419
llm:llama3,hardy_carrier,recall,1,C,1,1782943419
llm:llama3,hardy_carrier,recall,2,C,1,1782943420
llm:llama3,hardy_carrier,recall,3,C,1,1782943420
llm:llama3,hardy_carrier,recall,4,C,1,1782943421
